instance,q_t,num_qcs,num_tasks,qc,task_within_qc,processing_time,lu,printed_tuple
L22,3-12,3,12,QC6,3,66,LU4,"(66, 4)"
L22,3-12,3,12,QC6,4,33,LU4,"(33, 4)"
L23,3-15,3,15,QC1,1,72,LU2,"(72, 2)"
L23,3-15,3,15,QC1,2,62,LU3,"(62, 3)"
L23,3-15,3,15,QC1,3,41,LU1,"(41, 1)"
L23,3-15,3,15,QC1,4,73,LU2,"(73, 2)"
L23,3-15,3,15,QC1,5,56,LU1,"(56, 1)"
L23,3-15,3,15,QC2,1,66,LU2,"(66, 2)"
L23,3-15,3,15,QC2,2,61,LU3,"(61, 3)"
L23,3-15,3,15,QC2,3,67,LU1,"(67, 1)"
L23,3-15,3,15,QC2,4,54,LU1,"(54, 1)"
L23,3-15,3,15,QC2,5,51,LU2,"(51, 2)"
L23,3-15,3,15,QC3,1,47,LU2,"(47, 2)"
L23,3-15,3,15,QC3,2,56,LU3,"(56, 3)"
L23,3-15,3,15,QC3,3,40,LU1,"(40, 1)"
L23,3-15,3,15,QC3,4,33,LU3,"(33, 3)"
L23,3-15,3,15,QC3,5,48,LU3,"(48, 3)"
L24,3-15,3,15,QC4,1,47,LU5,"(47, 5)"
L24,3-15,3,15,QC4,2,58,LU6,"(58, 6)"
L24,3-15,3,15,QC4,3,50,LU4,"(50, 4)"
L24,3-15,3,15,QC4,4,70,LU4,"(70, 4)"
L24,3-15,3,15,QC4,5,51,LU4,"(51, 4)"
L24,3-15,3,15,QC5,1,79,LU6,"(79, 6)"
L24,3-15,3,15,QC5,2,30,LU5,"(30, 5)"
L24,3-15,3,15,QC5,3,56,LU5,"(56, 5)"
L24,3-15,3,15,QC5,4,39,LU4,"(39, 4)"
L24,3-15,3,15,QC5,5,56,LU5,"(56, 5)"
L24,3-15,3,15,QC6,1,32,LU4,"(32, 4)"
L24,3-15,3,15,QC6,2,49,LU6,"(49, 6)"
L24,3-15,3,15,QC6,3,67,LU5,"(67, 5)"
L24,3-15,3,15,QC6,4,63,LU4,"(63, 4)"
L24,3-15,3,15,QC6,5,77,LU6,"(77, 6)"
L25,4-8,4,8,QC1,1,36,LU1,"(36, 1)"
L25,4-8,4,8,QC1,2,73,LU1,"(73, 1)"
L25,4-8,4,8,QC2,1,74,LU2,"(74, 2)"
L25,4-8,4,8,QC2,2,40,LU2,"(40, 2)"
L25,4-8,4,8,QC3,1,77,LU1,"(77, 1)"
L25,4-8,4,8,QC3,2,58,LU2,"(58, 2)"
L25,4-8,4,8,QC4,1,40,LU2,"(40, 2)"
L25,4-8,4,8,QC4,2,43,LU1,"(43, 1)"
L26,4-8,4,8,QC3,1,64,LU3,"(64, 3)"
L26,4-8,4,8,QC3,2,75,LU3,"(75, 3)"
L26,4-8,4,8,QC4,1,45,LU3,"(45, 3)"
L26,4-8,4,8,QC4,2,72,LU4,"(72, 4)"
L26,4-8,4,8,QC5,1,68,LU4,"(68, 4)"
L26,4-8,4,8,QC5,2,77,LU4,"(77, 4)"
L26,4-8,4,8,QC6,1,63,LU3,"(63, 3)"
L26,4-8,4,8,QC6,2,74,LU4,"(74, 4)"
L27,4-12,4,12,QC2,1,39,LU3,"(39, 3)"
L27,4-12,4,12,QC2,2,48,LU4,"(48, 4)"
L27,4-12,4,12,QC2,3,51,LU3,"(51, 3)"
L27,4-12,4,12,QC3,1,67,LU5,"(67, 5)"
L27,4-12,4,12,QC3,2,41,LU3,"(41, 3)"
L27,4-12,4,12,QC3,3,56,LU4,"(56, 4)"
L27,4-12,4,12,QC4,1,50,LU3,"(50, 3)"
L27,4-12,4,12,QC4,2,46,LU5,"(46, 5)"
L27,4-12,4,12,QC4,3,56,LU4,"(56, 4)"
L27,4-12,4,12,QC5,1,68,LU4,"(68, 4)"
L27,4-12,4,12,QC5,2,68,LU3,"(68, 3)"
L27,4-12,4,12,QC5,3,77,LU5,"(77, 5)"
L28,4-12,4,12,QC3,1,63,LU3,"(63, 3)"
L28,4-12,4,12,QC3,2,42,LU4,"(42, 4)"
L28,4-12,4,12,QC3,3,64,LU3,"(64, 3)"
L28,4-12,4,12,QC4,1,51,LU4,"(51, 4)"
L28,4-12,4,12,QC4,2,43,LU3,"(43, 3)"
L28,4-12,4,12,QC4,3,45,LU4,"(45, 4)"
L28,4-12,4,12,QC5,1,60,LU5,"(60, 5)"
L28,4-12,4,12,QC5,2,30,LU5,"(30, 5)"
L28,4-12,4,12,QC5,3,68,LU4,"(68, 4)"
L28,4-12,4,12,QC6,1,41,LU5,"(41, 5)"
L28,4-12,4,12,QC6,2,47,LU5,"(47, 5)"
L28,4-12,4,12,QC6,3,63,LU4,"(63, 4)"
L29,4-16,4,16,QC3,1,46,LU3,"(46, 3)"
L29,4-16,4,16,QC3,2,60,LU4,"(60, 4)"
L29,4-16,4,16,QC3,3,54,LU3,"(54, 3)"
L29,4-16,4,16,QC3,4,71,LU5,"(71, 5)"
L29,4-16,4,16,QC4,1,47,LU5,"(47, 5)"
L29,4-16,4,16,QC4,2,58,LU3,"(58, 3)"
L29,4-16,4,16,QC4,3,50,LU4,"(50, 4)"
L29,4-16,4,16,QC4,4,70,LU3,"(70, 3)"
L29,4-16,4,16,QC5,1,79,LU3,"(79, 3)"
L29,4-16,4,16,QC5,2,30,LU5,"(30, 5)"
L29,4-16,4,16,QC5,3,56,LU4,"(56, 4)"
L29,4-16,4,16,QC5,4,39,LU4,"(39, 4)"
L29,4-16,4,16,QC6,1,32,LU4,"(32, 4)"
L29,4-16,4,16,QC6,2,49,LU3,"(49, 3)"
L29,4-16,4,16,QC6,3,67,LU5,"(67, 5)"
L29,4-16,4,16,QC6,4,63,LU3,"(63, 3)"
L30,4-16,4,16,QC1,1,75,LU1,"(75, 1)"
L30,4-16,4,16,QC1,2,39,LU2,"(39, 2)"
L30,4-16,4,16,QC1,3,46,LU1,"(46, 1)"
L30,4-16,4,16,QC1,4,35,LU1,"(35, 1)"
L30,4-16,4,16,QC2,1,69,LU2,"(69, 2)"
L30,4-16,4,16,QC2,2,80,LU2,"(80, 2)"
L30,4-16,4,16,QC2,3,67,LU1,"(67, 1)"
L30,4-16,4,16,QC2,4,44,LU2,"(44, 2)"
L30,4-16,4,16,QC3,1,45,LU3,"(45, 3)"
L30,4-16,4,16,QC3,2,48,LU2,"(48, 2)"
L30,4-16,4,16,QC3,3,77,LU3,"(77, 3)"
L30,4-16,4,16,QC3,4,42,LU3,"(42, 3)"
L30,4-16,4,16,QC4,1,62,LU3,"(62, 3)"
L30,4-16,4,16,QC4,2,36,LU3,"(36, 3)"
L30,4-16,4,16,QC4,3,50,LU3,"(50, 3)"
L30,4-16,4,16,QC4,4,63,LU2,"(63, 2)"
L31,5-10,5,10,QC1,1,61,LU1,"(61, 1)"
L31,5-10,5,10,QC1,2,59,LU1,"(59, 1)"
L31,5-10,5,10,QC2,1,71,LU2,"(71, 2)"
L31,5-10,5,10,QC2,2,62,LU1,"(62, 1)"
L31,5-10,5,10,QC3,1,30,LU2,"(30, 2)"
L31,5-10,5,10,QC3,2,30,LU1,"(30, 1)"
L31,5-10,5,10,QC4,1,38,LU2,"(38, 2)"
L31,5-10,5,10,QC4,2,37,LU2,"(37, 2)"
L31,5-10,5,10,QC5,1,55,LU1,"(55, 1)"
L31,5-10,5,10,QC5,2,42,LU1,"(42, 1)"
L32,5-10,5,10,QC2,1,79,LU3,"(79, 3)"
L32,5-10,5,10,QC2,2,66,LU3,"(66, 3)"
L32,5-10,5,10,QC3,1,55,LU3,"(55, 3)"
L32,5-10,5,10,QC3,2,45,LU3,"(45, 3)"
L32,5-10,5,10,QC4,1,46,LU4,"(46, 4)"
L32,5-10,5,10,QC4,2,56,LU4,"(56, 4)"
L32,5-10,5,10,QC5,1,77,LU4,"(77, 4)"
L32,5-10,5,10,QC5,2,34,LU4,"(34, 4)"
L32,5-10,5,10,QC6,1,80,LU4,"(80, 4)"
L32,5-10,5,10,QC6,2,67,LU4,"(67, 4)"
L33,5-15,5,15,QC1,1,80,LU2,"(80, 2)"
L33,5-15,5,15,QC1,2,43,LU2,"(43, 2)"
L33,5-15,5,15,QC1,3,53,LU3,"(53, 3)"
L33,5-15,5,15,QC2,1,32,LU3,"(32, 3)"
L33,5-15,5,15,QC2,2,47,LU2,"(47, 2)"
L33,5-15,5,15,QC2,3,70,LU3,"(70, 3)"
L33,5-15,5,15,QC3,1,63,LU4,"(63, 4)"
L33,5-15,5,15,QC3,2,52,LU4,"(52, 4)"
L33,5-15,5,15,QC3,3,71,LU4,"(71, 4)"
L33,5-15,5,15,QC4,1,48,LU4,"(48, 4)"
L33,5-15,5,15,QC4,2,57,LU3,"(57, 3)"
L33,5-15,5,15,QC4,3,75,LU4,"(75, 4)"
L33,5-15,5,15,QC5,1,67,LU4,"(67, 4)"
L33,5-15,5,15,QC5,2,43,LU3,"(43, 3)"
L33,5-15,5,15,QC5,3,65,LU4,"(65, 4)"
L34,5-15,5,15,QC2,1,45,LU2,"(45, 2)"
L34,5-15,5,15,QC2,2,50,LU3,"(50, 3)"
L34,5-15,5,15,QC2,3,77,LU2,"(77, 2)"
L34,5-15,5,15,QC3,1,34,LU3,"(34, 3)"
L34,5-15,5,15,QC3,2,47,LU2,"(47, 2)"
L34,5-15,5,15,QC3,3,52,LU3,"(52, 3)"
L34,5-15,5,15,QC4,1,43,LU4,"(43, 4)"
L34,5-15,5,15,QC4,2,70,LU3,"(70, 3)"
L34,5-15,5,15,QC4,3,67,LU4,"(67, 4)"
L34,5-15,5,15,QC5,1,66,LU4,"(66, 4)"
L34,5-15,5,15,QC5,2,35,LU4,"(35, 4)"
L34,5-15,5,15,QC5,3,60,LU4,"(60, 4)"
L34,5-15,5,15,QC6,1,56,LU4,"(56, 4)"
L34,5-15,5,15,QC6,2,36,LU3,"(36, 3)"
L34,5-15,5,15,QC6,3,56,LU4,"(56, 4)"
L35,6-12,6,12,QC1,1,72,LU1,"(72, 1)"
L35,6-12,6,12,QC1,2,59,LU3,"(59, 3)"
L35,6-12,6,12,QC2,1,61,LU2,"(61, 2)"
L35,6-12,6,12,QC2,2,57,LU1,"(57, 1)"
L35,6-12,6,12,QC3,1,53,LU3,"(53, 3)"
L35,6-12,6,12,QC3,2,48,LU3,"(48, 3)"
L35,6-12,6,12,QC4,1,57,LU1,"(57, 1)"
L35,6-12,6,12,QC4,2,40,LU2,"(40, 2)"
L35,6-12,6,12,QC5,1,65,LU3,"(65, 3)"
L35,6-12,6,12,QC5,2,50,LU1,"(50, 1)"
L35,6-12,6,12,QC6,1,58,LU2,"(58, 2)"
L35,6-12,6,12,QC6,2,47,LU3,"(47, 3)"
